18,貴座,気位が高い人。上品なこと、上品なムードを好む。水性を急務とする。,特に異常性を発揮する。先祖の運気の弱い家系から生まれやすい。「蔑みの花嫁」(嫁ぎ先から蔑まされる、結婚に歪みがでる)との意味があり女性が所有すると辛い干支。経済的に恵まれると知的となり、正常となり上品な生活となる。経済的に低いレベルであると庶民的となり、異常性も現れやすくなる。,,
19,禄馬同郷,多成多敗の人生。ただし、全体良好の宿命。水性と金性を吉とする。,特に異常性を発揮する。夢の星といわれている(精神の異常性)。霊感能力もあり、また「戦場の花嫁」(いつも喧嘩や忙しさに追われる)とも言われる干支。女性が所有すると辛く苦しい干支。,,
20,庫里,名人芸、職人芸。一業にのみ能力を発揮。変化を恐れず、変化を好む人生。金性を吉とする。,,,
21,天風,夢が大きく、理想の高い人。凡人と交わらない人。文化に根ざす生き方、知性の参加を保って社会に生きる。火性が運命に幸運をもたらす。,,,
22,盆栽の花,六親縁に薄くなるが、友人や知人・他人縁は良い。他人のために生きると人生に華やかさと幸運がもたらされる。火性と水性を吉。,,祇王の業,性格が素直すぎて、他人にだまされやすい。正反対の結婚観で、数婚になりやすい婚姻関係に問題が生じる業。結婚して深刻な問題を乗り越えると一度の結婚で安定する。晩年は業が消えて、苦労は無く平穏な人生となる。女性は晩婚で吉
23,地網の日輪,生涯遊んで暮らせる。外見が華やかで、人生の起伏が大きい。木性を吉とする。,「異常干支」の別格。教養の度合いが異常性に大いに関係する干支。知的生活をすると異常性が現れ、正規の教育を身に付けないと異常性は現れにくい。ただし、異常性が現れないだけであり、消えるのではない。身強の配偶者を得ることで異常性が押えられ現れ難くなる。,不信の業,人生で最も大切なときに、他人から裏切られる(両親を含む)。裏切られた都度、心が強まり、強運に恵まれる。他人は信じられず、孤独の森の中で不信感が一生続く。執着を捨てて、無我の境地で前進すること。
24,地コウ,特殊な霊感能力を所有。非常に勤勉実直、真面目を絵に書いたような人。,特に異常性を発揮する。純粋な霊感能力(精神の異常性)。特別な修行をしなくとも霊感能力が現れるが、結婚することで霊感力が弱まる。「異国の花嫁」(嫁ぎ先の価値観が理解できない)ともいわれ配偶者と話しが合わない人が多い。,,
25,華財,人の財をもらう。一代で財を成す。悪くすると金儲けが目的となりうる。結婚運は良好だが、人生を進む上での苦労は多い人。金性が人生の幸運をもたらす。,天報星の気質が最も強く現れる純粋な「お天気屋さん」の質。,,
26,肥沃の田土,運の良い星。自分の能力に尽きることが無い。決して枯れない井戸と同様、人生において余り困る事が無い。急激には伸びないが、一生を通じて波乱がない。,,,
27,春耕,本人は伸びるが家庭運はあまり良くない。出発を意味し、先頭に立つ人、人々を引率する。木性と火性を吉とする。,,,
28,古木の精,一流品好み、一流品を数多く同時に身に着けるが、そのバランスが取れない人。金性と土性を喜びとする。,,,
29,龍背,芸術的才能を所有。男女とも、仕事を持つことで成功者となる。木性と火性が吉。,,不子の業,逆縁(子供が先に死ぬ、夫婦の年齢差)、自分と縦線の直系が途絶えて、孤独になる。兄弟姉妹は残るが、子供の事故死、瞬間死の可能性大。子供との縁が薄く、自分の思い通りにならない子供が生まれる傾向にある。
30,玄陀,六十干支中で最もしつこい星。恨みが仕事の原動力。庚・辛を吉とする。,配偶者に異常性のある人が多い(結婚してから相手に現象が出る人が居る)。ただし、異常性の内容は精神面であったり、肉体面であったりする。,,
31,飛馬,直情な人。お人好しで、人を疑うことを知らない人。純粋に率直に物事を受け止める。水性を喜びとする。,,,
32,家宝,長男長女に生まれて頭角を現し、長子以外が分家・他家の跡取りで良好。甲と水性の存在を吉とする。,,,
33,崑崙の夕日,物事に固執するこだわりの人生。自らの懐に何でも入れてしまい、離さない人。木性の存在が吉。,,,
34,瑠璃の燈光,書道・文芸・文学に才能を発揮する人。木性が吉。壬を取り入れれば、美的環境をもたらす。,,,
